Город;Ведущий факультет;Ведущая кафедра;Направление;профиль;Группа;ФО;Код дисциплины;Дисциплина;Курс;Семестр;Суд Бюдж;Студ Ком;Студ сум;Поток (название /номер);ур (03-бак, 04-маг, 05-спец, 06-асп);Учитывать;ЗЕ;практи Маг;практи Бак, Спец;НИР Маг;НИР Бак, Спец;практ Асп;НИР Aсп;НИР и прак сум;лекции без потока;лекции с потоком;Текущие консультации;Практические занятия;лабораторные;КР в часах;КП в часах;Коллокв в часах;РГР в часах;Реферат ;Зачет в часах;ЗаО в часах;ЗаО по практикам (не сумминуется в итоговой сумме, выделен для информации);Экзамен в часах;Экз Консульт;Б;К;итого;Выпускающий факультет;Выпускающая кафедра;Кафедры до реорганизации;ПЛАН (без изменений или новый в 2021);Примечания при наличии изменений
Уфа;ФИРТ;Кафедра высокопроизводительных вычислительных технологий и систем;02.03.01 Математика и компьютерные науки;0;МКН-217;Очная;Б1.О.09;Математическая логика;2;Третий семестр;25;0;25;;3;1;4;0;0;0;0;0;0;0;24;24;02.апр;26.00;0.00;0;0;0;0;0;июн.25;0;0;0;0;58.65;0.00;58.65;ФИРТ;Кафедра высокопроизводительных вычислительных технологий и систем;0;;0
Уфа;ФИРТ;Кафедра высокопроизводительных вычислительных технологий и систем;01.06.01 Математика и механика;0;ММ-1010102-20А;Очная;Б2.В.03;Научно-исследовательская практика;3;Шестой семестр;1;0;1;;6;1;12;0;0;0;0;18;0;18;0;0;0;0.00;0.00;0;0;0;0;0;0;0;0.35;0;0;18.00;0.00;18.00;ФИРТ;Кафедра высокопроизводительных вычислительных технологий и систем;0;;0
Уфа;ФИРТ;Кафедра высокопроизводительных вычислительных технологий и систем;01.06.01 Математика и механика;0;ММ-1010102-21А;Очная;Б2.В.02;Научные исследования;2;Третий семестр;2;0;2;;6;1;19;0;0;0;0;0;38;38;0;0;0;0.00;0.00;0;0;0;0;0;0.5;0;0;0;0;38.50;0.00;38.50;ФИРТ;Кафедра высокопроизводительных вычислительных технологий и систем;0;;0
Уфа;ФИРТ;Кафедра высокопроизводительных вычислительных технологий и систем;02.04.01 Математика и компьютерные науки;0;МКН-102М;Очная;Б1.О.09;Алгоритмы и структуры данных;1;Второй семестр;15;0;15;;4;1;4;0;0;0;0;0;0;0;20;20;2;0.00;64.00;0;0;0;0;0;мар.75;0;0;0;0;89.75;0.00;89.75;ФИРТ;Кафедра высокопроизводительных вычислительных технологий и систем;0;;0
Уфа;ФИРТ;Кафедра высокопроизводительных вычислительных технологий и систем;02.04.01 Математика и компьютерные науки;0;МКН-201М;Очная;Б3.01;Подготовка к процедуре защиты и защита выпускной квалификационной работы;2;Четвертый семестр;12;0;12;;4;1;6;0;0;0;0;0;0;0;0;0;0;0.00;0.00;0;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;ФИРТ;Кафедра высокопроизводительных вычислительных технологий и систем;0;;0
Уфа;ФИРТ;Кафедра высокопроизводительных вычислительных технологий и систем;01.03.02 Прикладная математика и информатика;0;ПМИ-354;Очная;Б1.В.10;Параллельное программирование;3;Пятый семестр;20;2;22;148;3;1;4;0;0;0;0;0;0;0;24;8;02.апр;0.00;48.00;0;0;0;0;0;05.май;0;0;0;0;58.09;май.81;63.90;ФИРТ;Кафедра искусственного интеллекта и перспективных математических исследований;0;;0
Уфа;ФИРТ;Кафедра высокопроизводительных вычислительных технологий и систем;01.03.02 Прикладная математика и информатика;0;ПМИ-354;Очная;Б1.В.10;Параллельное программирование;3;Шестой семестр;20;2;22;150;3;1;3;0;0;0;0;0;0;0;20;6.666666667;2;0.00;32.00;0;0;0;0;0;05.май;0;0;0;0;41.97;апр.20;46.17;ФИРТ;Кафедра искусственного интеллекта и перспективных математических исследований;0;;0
Уфа;ФИРТ;Кафедра высокопроизводительных вычислительных технологий и систем;01.03.02 Прикладная математика и информатика;0;ПМИ-256;Очная;Б1.О.06;Программирование;2;Третий семестр;23;0;23;141;3;1;4;0;0;0;0;0;0;0;20;6.666666667;2;0.00;40.00;0;0;0;0;0;май.75;0;0;0;0;54.42;0.00;54.42;ФИРТ;Кафедра искусственного интеллекта и перспективных математических исследований;0;;0
Уфа;ФИРТ;Кафедра высокопроизводительных вычислительных технологий и систем;01.03.04 Прикладная математика;0;ПМ-453;Очная;Б1.В.ДВ.02.02;Моделирование в математических пакетах;4;Восьмой семестр;12;0;12;;3;1;5;0;0;0;0;0;0;0;24;24;02.апр;0.00;20.00;0;0;0;0;0;0;04.фев;0;0;0;50.60;0.00;50.60;ФИРТ;Кафедра высокопроизводительных вычислительных технологий и систем;0;;0
Уфа;ФИРТ;Кафедра высокопроизводительных вычислительных технологий и систем;01.03.04 Прикладная математика;0;ПМ-453;Очная;Б1.В.05;Теория случайных процессов и математическая статистика;4;Седьмой семестр;12;0;12;155;3;1;5;0;0;0;0;0;0;0;32;16;03.фев;10.00;16.00;0;0;0;0;0;3;0;0;0;0;48.20;0.00;48.20;ФИРТ;Кафедра высокопроизводительных вычислительных технологий и систем;0;;0
Уфа;ФИРТ;Кафедра высокопроизводительных вычислительных технологий и систем;01.03.04 Прикладная математика;0;ПМ-453;Очная;Б1.О.18;Методы оптимизации;4;Седьмой семестр;12;0;12;153;3;1;5;0;0;0;0;0;0;0;24;8;02.апр;16.00;16.00;36;0;0;0;0;0;0;0;05.июн;2;86.00;0.00;86.00;ФИРТ;Кафедра высокопроизводительных вычислительных технологий и систем;0;;0
Уфа;ФИРТ;Кафедра высокопроизводительных вычислительных технологий и систем;01.03.04 Прикладная математика;0;ПМ-355;Очная;Б1.В.04;Базы данных;3;Шестой семестр;11;10;21;151;3;1;3;0;0;0;0;0;0;0;14;4.666666667;01.апр;0.00;40.00;0;0;0;0;0;май.25;0;0;0;0;26.88;24.44;51.32;ФИРТ;Кафедра высокопроизводительных вычислительных технологий и систем;0;;0
Уфа;ФИРТ;Кафедра высокопроизводительных вычислительных технологий и систем;01.03.04 Прикладная математика;0;ПМ-355;Очная;Б1.О.24;Теоретическая механика;3;Пятый семестр;11;0;11;147;3;1;4;0;0;0;0;0;0;0;26;13;02.июн;28.00;0.00;0;0;0;0;0;фев.75;0;0;0;0;46.35;0.00;46.35;ФИРТ;Кафедра высокопроизводительных вычислительных технологий и систем;0;;0
Уфа;ФИРТ;Кафедра высокопроизводительных вычислительных технологий и систем;02.03.01 Математика и компьютерные науки;0;МКН-415;Очная;Б3.01;Подготовка к процедуре защиты и защита выпускной квалификационной работы;4;Восьмой семестр;11;0;11;;3;1;6;0;0;0;0;0;0;0;0;0;0;0.00;0.00;0;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;ФИРТ;Кафедра высокопроизводительных вычислительных технологий и систем;0;;0
Уфа;ФИРТ;Кафедра высокопроизводительных вычислительных технологий и систем;02.03.01 Математика и компьютерные науки;0;МКН-316;Очная;Б1.О.21;Операционные системы и сети;3;Пятый семестр;17;0;17;146;3;1;4;0;0;0;0;0;0;0;20;6.666666667;2;0.00;48.00;0;0;0;0;0;апр.25;0;0;0;0;60.92;0.00;60.92;ФИРТ;Кафедра высокопроизводительных вычислительных технологий и систем;0;;0
Уфа;ФИРТ;Кафедра высокопроизводительных вычислительных технологий и систем;02.03.01 Математика и компьютерные науки;0;МКН-217;Очная;Б1.В.01;Компьютерная графика;2;Третий семестр;25;0;25;140;3;1;3;0;0;0;0;0;0;0;16;5.333333333;01.июн;0.00;40.00;0;0;0;0;0;июн.25;0;0;0;0;53.18;0.00;53.18;ФИРТ;Кафедра высокопроизводительных вычислительных технологий и систем;0;;0
Уфа;ФИРТ;Кафедра высокопроизводительных вычислительных технологий и систем;11.03.02 Инфокоммуникационные технологии и системы связи;0;ИКТ-231Б;Очная;Б1.О.10;Дискретная математика;2;Третий семестр;28;1;29;;3;1;3;0;0;0;0;0;0;0;20;20;2;20.00;0.00;0;0;0;29;0;июл.25;0;0;0;0;75.55;фев.70;78.25;АВИЭТ;Кафедра телекоммуникационных систем;0;;0
Уфа;ФИРТ;Кафедра высокопроизводительных вычислительных технологий и систем;01.04.02 Прикладная математика и информатика;0;ПМИфма-104М;Очная;Б1.О.08;Современные компьютерные технологии;1;Второй семестр;15;0;15;;4;1;3;0;0;0;0;0;0;0;10;10;1;0.00;40.00;0;0;0;0;0;мар.75;0;0;0;0;54.75;0.00;54.75;ИНЭК;Кафедра финансовых, учетных и налоговых технологий;0;;0
Уфа;ФИРТ;Кафедра высокопроизводительных вычислительных технологий и систем;01.03.02 Прикладная математика и информатика;0;ПМИ-452;Очная;Б1.О.27;История математики;4;Восьмой семестр;7;0;7;;3;1;2;0;0;0;0;0;0;0;0;0;0;30.00;0.00;0;0;0;0;0;янв.75;0;0;0;0;31.75;0.00;31.75;ФИРТ;Кафедра искусственного интеллекта и перспективных математических исследований;0;;0
Уфа;ФИРТ;Кафедра высокопроизводительных вычислительных технологий и систем;01.03.04 Прикладная математика;0;ПМ-453;Очная;Б1.О.27;Математическое моделирование;4;Восьмой семестр;12;0;12;;3;1;6;0;0;0;0;0;0;0;20;20;2;8.00;16.00;0;0;0;0;0;0;0;0;05.июн;2;53.60;0.00;53.60;ФИРТ;Кафедра высокопроизводительных вычислительных технологий и систем;0;;0
Уфа;ФИРТ;Кафедра высокопроизводительных вычислительных технологий и систем;01.03.04 Прикладная математика;0;ПМ-453;Очная;Б1.О.27;Математическое моделирование;4;Седьмой семестр;12;0;12;;3;1;5;0;0;0;0;0;0;0;24;24;02.апр;12.00;24.00;0;0;0;0;0;0;0;0;05.июн;2;70.00;0.00;70.00;ФИРТ;Кафедра высокопроизводительных вычислительных технологий и систем;0;;0
Уфа;ФИРТ;Кафедра высокопроизводительных вычислительных технологий и систем;01.03.04 Прикладная математика;0;ПМ-355;Очная;Б1.О.25;Теория разностных схем;3;Шестой семестр;11;0;11;152;3;1;4;0;0;0;0;0;0;0;20;6.666666667;2;8.00;20.00;33;0;0;0;0;0;мар.85;0;0;0;73.52;0.00;73.52;ФИРТ;Кафедра высокопроизводительных вычислительных технологий и систем;0;;0
Уфа;ФИРТ;Кафедра высокопроизводительных вычислительных технологий и систем;01.03.04 Прикладная математика;0;ПМ-257;Очная;Б1.В.01;Компьютерная графика;2;Третий семестр;18;0;18;140;3;1;3;0;0;0;0;0;0;0;16;5.333333333;01.июн;0.00;40.00;0;0;0;0;0;04.май;0;0;0;0;51.43;0.00;51.43;ФИРТ;Кафедра высокопроизводительных вычислительных технологий и систем;0;;0
Уфа;ФИРТ;Кафедра высокопроизводительных вычислительных технологий и систем;01.03.04 Прикладная математика;0;ПМ-257;Очная;Б1.В.ДВ.01.01;Прикладное программное обеспечение;2;Четвертый семестр;18;0;18;144;3;1;3;0;0;0;0;0;0;0;16;8;01.июн;0.00;40.00;0;0;0;0;0;04.май;0;0;0;0;54.10;0.00;54.10;ФИРТ;Кафедра высокопроизводительных вычислительных технологий и систем;0;;0
Уфа;ФИРТ;Кафедра высокопроизводительных вычислительных технологий и систем;01.03.04 Прикладная математика;0;ПМ-257;Очная;Б1.О.12;Функциональный анализ;2;Четвертый семестр;18;0;18;145;3;1;5;0;0;0;0;0;0;0;32;16;03.фев;20.00;0.00;0;0;0;0;0;0;0;0;07.апр;2;48.60;0.00;48.60;ФИРТ;Кафедра высокопроизводительных вычислительных технологий и систем;0;;0
Уфа;ФИРТ;Кафедра высокопроизводительных вычислительных технологий и систем;02.03.01 Математика и компьютерные науки;0;МКН-415;Очная;Б2.В.01;Преддипломная практика;4;Восьмой семестр;11;0;11;;3;1;9;0;47.52;0;0;0;0;47.52;0;0;0;0.00;0.00;0;0;0;0;0;0;0;мар.85;0;0;47.52;0.00;47.52;ФИРТ;Кафедра высокопроизводительных вычислительных технологий и систем;0;;0
Уфа;ФИРТ;Кафедра высокопроизводительных вычислительных технологий и систем;02.03.01 Математика и компьютерные науки;0;МКН-415;Очная;Б2.В.02;Производственная практика;4;Седьмой семестр;11;0;11;;3;1;6;0;31.68;0;0;0;0;31.68;0;0;0;0.00;0.00;0;0;0;0;0;0;0;мар.85;0;0;31.68;0.00;31.68;ФИРТ;Кафедра высокопроизводительных вычислительных технологий и систем;0;;0
Уфа;ФИРТ;Кафедра высокопроизводительных вычислительных технологий и систем;02.03.01 Математика и компьютерные науки;0;МКН-415;Очная;Б1.О.20;Методы оптимизации;4;Седьмой семестр;9;0;9;153;3;1;5;0;0;0;0;0;0;0;24;8;02.апр;16.00;16.00;27;0;0;0;0;0;0;0;04.июл;2;76.10;0.00;76.10;ФИРТ;Кафедра высокопроизводительных вычислительных технологий и систем;0;;0
Уфа;ФИРТ;Кафедра высокопроизводительных вычислительных технологий и систем;02.03.01 Математика и компьютерные науки;0;МКН-316;Очная;Б1.О.23;Теория функций комплексной переменной;3;Пятый семестр;17;0;17;;3;1;4;0;0;0;0;0;0;0;20;20;2;24.00;0.00;0;0;0;0;0;0;0;0;07.янв;2;55.10;0.00;55.10;ФИРТ;Кафедра высокопроизводительных вычислительных технологий и систем;0;;0
Уфа;ФИРТ;Кафедра высокопроизводительных вычислительных технологий и систем;02.03.01 Математика и компьютерные науки;0;МКН-217;Очная;Б1.О.21;Операционные системы и сети;2;Четвертый семестр;25;0;25;143;3;1;3;0;0;0;0;0;0;0;20;6.666666667;2;0.00;40.00;0;0;0;0;0;июн.25;0;0;0;0;54.92;0.00;54.92;ФИРТ;Кафедра высокопроизводительных вычислительных технологий и систем;0;;0
Уфа;ФИРТ;Кафедра высокопроизводительных вычислительных технологий и систем;02.03.01 Математика и компьютерные науки;0;МКН-217;Очная;Б1.О.10;Дифференциальные уравнения;2;Четвертый семестр;25;0;25;157;3;1;7;0;0;0;0;0;0;0;0;0;0;54.00;0.00;75;0;0;0;0;июн.25;0;0;0;0;135.25;0.00;135.25;ФИРТ;Кафедра высокопроизводительных вычислительных технологий и систем;0;;Поручение от ВВТиС на ИИПМИ от 27.06.2022
Уфа;ФИРТ;Кафедра высокопроизводительных вычислительных технологий и систем;02.03.01 Математика и компьютерные науки;0;МКН-217;Очная;Б1.О.30;Функциональный анализ;2;Четвертый семестр;25;0;25;145;3;1;5;0;0;0;0;0;0;0;32;16;03.фев;20.00;0.00;0;0;0;0;0;0;0;0;09.май;2;50.70;0.00;50.70;ФИРТ;Кафедра высокопроизводительных вычислительных технологий и систем;0;;0
Уфа;ФИРТ;Кафедра высокопроизводительных вычислительных технологий и систем;02.04.01 Математика и компьютерные науки;0;МКН-201М;Очная;Б2.В.01;Производственная/учебная практика (научно_исследовательская работа 1;2;Третий семестр;12;0;12;;4;1;3;24;0;0;0;0;0;24;0;0;0;0.00;0.00;36;0;0;0;0;3;0;0;0;0;63.00;0.00;63.00;ФИРТ;Кафедра высокопроизводительных вычислительных технологий и систем;ЦТвНИ;;0
Уфа;ФИРТ;Кафедра высокопроизводительных вычислительных технологий и систем;02.04.01 Математика и компьютерные науки;0;МКН-201М;Очная;Б1.О.13;Введение в Интернет вещей (Inthernet of things);2;Третий семестр;12;0;12;;4;1;4;0;0;0;0;0;0;0;20;20;2;24.00;0.00;0;0;0;0;0;3;0;0;0;0;49.00;0.00;49.00;ФИРТ;Кафедра высокопроизводительных вычислительных технологий и систем;ЦТвНИ;;0
Уфа;ФИРТ;Кафедра высокопроизводительных вычислительных технологий и систем;01.03.04 Прикладная математика;0;ПМ-453;Очная;Б1.В.ДВ.03.01;Интеллектуальные системы;4;Седьмой семестр;12;0;12;;3;1;3;0;0;0;0;0;0;0;16;16;01.июн;16.00;0.00;0;0;0;0;0;3;0;0;0;0;36.60;0.00;36.60;ФИРТ;Кафедра высокопроизводительных вычислительных технологий и систем;ЦТвНИ;;0
Уфа;ФИРТ;Кафедра высокопроизводительных вычислительных технологий и систем;01.03.02 Прикладная математика и информатика;0;ПМИ-452;Очная;Б1.В.ДВ.02.02;Моделирование в математических пакетах;4;Восьмой семестр;7;0;7;;3;1;4;0;0;0;0;0;0;0;16;16;01.июн;0.00;16.00;0;0;0;0;0;0;0;0;04.янв;2;39.70;0.00;39.70;ФИРТ;Кафедра искусственного интеллекта и перспективных математических исследований;0;;0
Уфа;ФИРТ;Кафедра высокопроизводительных вычислительных технологий и систем;01.03.02 Прикладная математика и информатика;0;ПМИ-256;Очная;Б1.О.28;Технологии программирования;2;Третий семестр;23;0;23;;3;1;3;0;0;0;0;0;0;0;2;2;0.2;0.00;40.00;0;0;0;0;0;май.75;0;0;0;0;47.95;0.00;47.95;ФИРТ;Кафедра искусственного интеллекта и перспективных математических исследований;0;;0
Уфа;ФИРТ;Кафедра высокопроизводительных вычислительных технологий и систем;01.03.04 Прикладная математика;0;ПМ-355;Очная;Б2.О.01;Учебная практика;3;Шестой семестр;11;0;11;;3;1;6;0;31.68;0;0;0;0;31.68;0;0;0;0.00;0.00;0;0;0;0;0;0;0;мар.85;0;0;31.68;0.00;31.68;ФИРТ;Кафедра высокопроизводительных вычислительных технологий и систем;0;;0
Уфа;ФИРТ;Кафедра высокопроизводительных вычислительных технологий и систем;01.03.04 Прикладная математика;0;ПМ-355;Очная;Б1.О.26;Механика сплошных сред;3;Шестой семестр;11;0;11;;3;1;5;0;0;0;0;0;0;0;48;48;04.авг;24.00;0.00;0;0;0;0;0;0;0;0;05.мар;2;84.10;0.00;84.10;ФИРТ;Кафедра высокопроизводительных вычислительных технологий и систем;0;;0
Уфа;ФИРТ;Кафедра высокопроизводительных вычислительных технологий и систем;01.03.04 Прикладная математика;0;ПМ-257;Очная;Б1.В.06;Технология программирования;2;Третий семестр;18;0;18;;3;1;4;0;0;0;0;0;0;0;12;12;01.фев;0.00;40.00;0;0;0;0;0;04.май;0;0;0;0;57.70;0.00;57.70;ФИРТ;Кафедра высокопроизводительных вычислительных технологий и систем;0;;0
Уфа;ФИРТ;Кафедра высокопроизводительных вычислительных технологий и систем;02.03.01 Математика и компьютерные науки;0;МКН-415;Очная;Б1.В.06;Теория случайных процессов и математическая статистика;4;Седьмой семестр;11;0;11;155;3;1;5;0;0;0;0;0;0;0;32;16;03.фев;10.00;16.00;0;0;0;0;0;фев.75;0;0;0;0;47.95;0.00;47.95;ФИРТ;Кафедра высокопроизводительных вычислительных технологий и систем;0;;0
Уфа;ФИРТ;Кафедра высокопроизводительных вычислительных технологий и систем;02.03.01 Математика и компьютерные науки;0;МКН-316;Очная;Б1.В.03;Технологии параллельного программирования;3;Пятый семестр;17;0;17;148;3;1;4;0;0;0;0;0;0;0;24;8;02.апр;0.00;48.00;0;0;0;0;0;апр.25;0;0;0;0;62.65;0.00;62.65;ФИРТ;Кафедра высокопроизводительных вычислительных технологий и систем;0;;0
Уфа;ФИРТ;Кафедра высокопроизводительных вычислительных технологий и систем;02.03.01 Математика и компьютерные науки;0;МКН-316;Очная;Б1.В.08;Алгоритмы параллельного программирования;3;Шестой семестр;17;0;17;150;3;1;3;0;0;0;0;0;0;0;20;6.666666667;2;0.00;32.00;0;0;0;0;0;апр.25;0;0;0;0;44.92;0.00;44.92;ФИРТ;Кафедра высокопроизводительных вычислительных технологий и систем;0;;0
Уфа;ФИРТ;Кафедра высокопроизводительных вычислительных технологий и систем;02.03.01 Математика и компьютерные науки;0;МКН-316;Очная;Б1.О.17;Численные методы;3;Пятый семестр;17;0;17;149;3;1;6;0;0;0;0;0;0;0;32;10.66666667;03.фев;10.00;40.00;51;0;0;0;0;апр.25;0;0;07.янв;2;128.22;0.00;128.22;ФИРТ;Кафедра высокопроизводительных вычислительных технологий и систем;0;;0
Уфа;ФИРТ;Кафедра высокопроизводительных вычислительных технологий и систем;02.03.01 Математика и компьютерные науки;0;МКН-217;Очная;Б1.В.02;Алгоритмы и структуры данных;2;Четвертый семестр;25;0;25;142;3;1;3;0;0;0;0;0;0;0;16;8;01.июн;0.00;32.00;0;0;0;0;0;июн.25;0;0;0;0;47.85;0.00;47.85;ФИРТ;Кафедра высокопроизводительных вычислительных технологий и систем;0;;0
